a,b,fault_en,sum,fault_type
0,0,0,0,no_fault
0,0,1,2,stuck_at
0,1,0,1,no_fault
0,1,1,3,stuck_at
0,2,0,2,no_fault
0,2,1,2,stuck_at
0,3,0,3,no_fault
0,3,1,3,stuck_at
1,0,0,1,no_fault
1,0,1,3,stuck_at
1,1,0,2,no_fault
1,1,1,2,stuck_at
1,2,0,3,no_fault
1,2,1,3,stuck_at
1,3,0,4,no_fault
1,3,1,6,stuck_at
2,0,0,2,no_fault
2,0,1,2,stuck_at
2,1,0,3,no_fault
2,1,1,3,stuck_at
2,2,0,4,no_fault
2,2,1,6,stuck_at
2,3,0,5,no_fault
2,3,1,7,stuck_at
3,0,0,3,no_fault
3,0,1,3,stuck_at
3,1,0,4,no_fault
3,1,1,6,stuck_at
3,2,0,5,no_fault
3,2,1,7,stuck_at
3,3,0,6,no_fault
3,3,1,6,stuck_at
